delta,theta,alpha,beta,gamma
0.017276177296681388,0.003526572550958253,0.0025450053511203476,0.004218916938567861,0.0054160125845234474
0.005015807630275815,0.0023227270538402267,0.0058862102435190316,0.0025317985208309158,0.00235278568225253
0.005560288047121676,0.0033755950040491515,0.002645401801858364,0.002702320477164216,0.0003075623819058643
0.0063734072508046654,0.0016674743679617428,0.002232854739182289,0.002722511898411987,0.0004134097765069828
0.006167549362405383,0.0016778335315410162,0.0027839733480837523,0.0030006768092107577,0.00036215632108654893
0.00890140297366577,0.0024349702553381337,0.0032263714078895655,0.0033257040895296112,0.001577918045345945
0.006748778597331511,0.001186437606877685,0.003285047894952371,0.0027109003495050603,0.0029288163014707953
0.003615374398471544,0.0015561574702351202,0.002474368236256994,0.0027507875310883202,0.0016762644608153457
0.0032846838652218317,0.002002526303997937,0.002713512855584405,0.00323445456715538,0.0011424062194220256
0.006620766819633046,0.0020957852155646713,0.002550319900641491,0.0023045227004740323,0.0015541608301534334
0.005314262324371023,0.0011965633431321589,0.0037756432309056344,0.002086396330631135,0.0007928500235371099
0.0036066786209397027,0.0015861514272828357,0.0028821494956152867,0.0019307386895506427,0.00032846810732590587
0.004996117769518454,0.002576880199377634,0.0022458174178616188,0.0025229323112600497,0.00044885536412069444
0.0036333515141291142,0.002060185072157543,0.0031548319539327647,0.0019541791014858504,0.0006746802349969472
0.0045026092394394,0.0013763980972326013,0.0021131061660983517,0.001983679590757909,0.0007520353285682289
0.0050536499606245915,0.0008329245631190092,0.0021397564226163608,0.002200214593822657,0.00047216733798440675
0.003770014281630296,0.0017757204632370552,0.0020948356797611087,0.0019513458482419196,0.00039190606741990427
0.004896692554387598,0.0020088526309959215,0.0017968211412496252,0.0018744294090147946,0.0006498149646220176
0.004168733709496594,0.0011516094001540198,0.0017918523540044768,0.0016369826248679512,0.001085482166472595
0.00379209140129513,0.0019433671097904685,0.0019104654805272565,0.0016734327901183285,0.000998395998838151
0.0034274111038613527,0.0013464087991466062,0.0027335119502915365,0.0030225531798886655,0.0006229723330973832
0.004152833251571086,0.0013773897981353962,0.0025727944133052995,0.001603379231339211,0.00036194106927826066
0.005422466114812474,0.0016253015810698433,0.002903370137472434,0.002085074968771376,0.0005224922573701281
0.006251175110291934,0.001737092886910395,0.002413464203241595,0.002738983035026129,0.000800625219260434
0.006563796692641236,0.0016170563759492886,0.00342842878927504,0.0017225288281440523,0.0009000382337935362
0.005681254020728601,0.003092182041177961,0.004360451897624038,0.0025449815548346634,0.002472765047963068
0.005699491896772123,0.004769797442589271,0.0038060972185751463,0.0023000650835963404,0.0018059707033003716
0.004062868635513969,0.001132042895234698,0.0024648927558141662,0.0015828499173039417,0.00120413507332384
0.009071671564443978,0.001852755019487395,0.003850695494089137,0.0026208392170536136,0.00149562754853649
0.013090198582505765,0.0026780936233829957,0.007907078738439967,0.004150620760949764,0.0011378868339041819
0.007354138707644684,0.0016437629772894445,0.005205042321938537,0.003934652768204348,0.000667935163447669
0.003179480573517071,0.0021593432205497666,0.002538363071913144,0.001921770112706581,0.0010095555996104933
0.005911565577033923,0.0011303693018077272,0.001786243559713468,0.0016900238363003624,0.0007067329679085074
0.005808921279973667,0.0019259965329783367,0.001376138239354216,0.0023362254922249005,0.0024783362107704153
0.011750576426480872,0.0030698124317180774,0.004058875807265582,0.00498170869597054,0.011702849245089656
0.006472427119257167,0.0013267667637042943,0.002782345565419199,0.0019402336726476053,0.0011205397398381532
0.006422190970384573,0.0019895589313566713,0.002110973674187831,0.0025785032305820524,0.0008168801919040859
0.0070767521008962084,0.002300964356494185,0.0026451520326799907,0.0026335575978721267,0.0008911194862533288
0.005475686741831354,0.0022185006237386016,0.0023609066564120483,0.0019809470843650074,0.0004632381335922221
0.006940920561103931,0.002685885873531811,0.002527018635320562,0.0017839989156996326,0.0005264876759233533
0.005455699847504948,0.001626691073191203,0.001836702371396238,0.0014657161456075366,0.0004322414714196117
0.006056677325088655,0.002171141979968024,0.0019436654870995107,0.0017166141186958266,0.000294358902631005
0.006585890998259868,0.0010592351517427568,0.0018963221395328508,0.001743162704010221,0.0003447761963195498
0.004810142881976939,0.0017223137869560672,0.003555355466120408,0.002638784278509206,0.00040475374303686597
0.0028412585709146954,0.0018213624619247979,0.003199210640085574,0.002031953859792867,0.0004492487201127062
0.0035871339421002027,0.0028229811336129063,0.002105421745059031,0.0025676632184227694,0.00034507999012751446
