delta,theta,alpha,beta,gamma
0.017276177296681388,0.0035265725509582534,0.002545005351120348,0.0042189169385678646,0.0054160125845234474
0.005015807630275814,0.0023227270538402254,0.005886210243519031,0.002531798520830918,0.0023527856822525327
0.005560288047121678,0.003375595004049152,0.0026454018018583626,0.002702320477164215,0.0003075623819058644
0.006373407250804666,0.0016674743679617428,0.0022328547391822886,0.0027225118984119828,0.00041340977650698214
0.006167549362405383,0.0016778335315410155,0.002783973348083749,0.003000676809210756,0.0003621563210865503
0.00890140297366577,0.002434970255338134,0.003226371407889565,0.0033257040895296125,0.0015779180453459442
0.006748778597331513,0.0011864376068776853,0.003285047894952371,0.002710900349505061,0.002928816301470793
0.003615374398471545,0.0015561574702351202,0.0024743682362569947,0.0027507875310883185,0.001676264460815343
0.0032846838652218304,0.0020025263039979368,0.0027135128555844067,0.003234454567155379,0.0011424062194220264
0.006620766819633045,0.002095785215564672,0.0025503199006414916,0.002304522700474033,0.0015541608301534358
0.00531426232437102,0.0011965633431321582,0.0037756432309056353,0.0020863963306311335,0.000792850023537111
0.0036066786209397045,0.0015861514272828357,0.0028821494956152854,0.0019307386895506414,0.0003284681073259027
0.004996117769518451,0.0025768801993776326,0.002245817417861616,0.0025229323112600515,0.0004488553641206964
0.003633351514129115,0.002060185072157543,0.0031548319539327647,0.0019541791014858457,0.0006746802349969504
0.004502609236855817,0.0013763980978688448,0.00211310616610664,0.0019836795907360594,0.0007520353285664473
0.005053649904800591,0.0008329245697489624,0.002139756424485621,0.0022002145937060455,0.0004721673380719226
0.003770012605145921,0.0017757203987095983,0.002094835691927756,0.0019513458501577846,0.0003919060686522837
0.004896703638466922,0.002008852662212489,0.0017968211763187776,0.001874429396377264,0.0006498149590953338
0.004168681740900114,0.0011516097576625987,0.0017918524625126315,0.0016369825475583272,0.001085482190641255
0.003792004786677526,0.0019433667513093769,0.0019104658358774377,0.001673432664918936,0.0009983959940311326
0.00342703749625144,0.001346417665359046,0.002733509528375879,0.003022553294581113,0.0006229725089086833
0.004151424132535317,0.0013774472849874646,0.002572805008114019,0.0016033904119078075,0.00036194245530042407
0.005420490865641195,0.0016252434514533536,0.0029034419042703887,0.0020850700527200294,0.0005224638914506867
0.006256241132205288,0.0017369961796547054,0.00241347636380874,0.0027389488081310917,0.0008005534147057051
0.006548615403059279,0.0016168329916894225,0.0034285201080748806,0.0017225313814498058,0.0008998291651206456
0.0056997921424019465,0.0030937815213597725,0.004360317073603397,0.002544979230076675,0.0024716425888618035
0.00579838538408485,0.004762917959381885,0.0038067507097721397,0.0022997969334362903,0.0018101262751922835
0.006059190359894461,0.0015147807882226311,0.002521015540596823,0.0026957726755052606,0.002734301024811186
0.006938566747568912,0.002970676311035196,0.003161403703047466,0.004945364437004476,0.007156939513222987
0.013902831518204328,0.0033075639689902096,0.002578299679963635,0.0023425067325501306,0.003074228251988082
0.020746307018495464,0.007211149667071742,0.005477416284383309,0.0054512974623400524,0.010972331944404267
0.007165238681933508,0.0017498049246277706,0.0028409603797738834,0.0024143082232156356,0.0029374304179854743
0.0047788081380954325,0.003534462808401935,0.0030398822760012855,0.004546779110600588,0.01409352446463788
0.006306436600598294,0.0024946144163799436,0.0028367388739481553,0.0018551097049457693,0.001979914516598939
0.006041748145833326,0.0011758898497626247,0.0016007057686978287,0.0014096303108009649,0.0004924039945886243
0.006312902871289167,0.002471929826577465,0.0020900750206425114,0.0013919811724976627,0.0003343072984298232
0.007808627326058718,0.0013398358179583939,0.001629983483684079,0.002132232671825792,0.0003209110070159505
0.00434173556264798,0.0012185002077593342,0.0032577626029163627,0.0026541919125066754,0.003055364529357394
0.005304763140451078,0.003137103415884474,0.0032923559999331604,0.005612974874586912,0.01905400242260071
0.0055880202139001,0.0032929031878893462,0.00313572346098423,0.002413768727642366,0.0023606386512211885
0.005405432754670937,0.0030599605682123648,0.0023663275526505903,0.002175676118311033,0.0003759045168538703
0.003149729175333108,0.004069845445410154,0.0016611446431429966,0.0019166660882707967,0.0003322130242422793
0.004066420080159342,0.0023677208869076097,0.002054821640087293,0.0012622093350328897,0.00029352762326414057
0.004994769379349874,0.0012728600414233305,0.0016028391302967966,0.0020198015170928138,0.0004376884982130974
0.005801557437362114,0.0011702147579969548,0.001399089433558386,0.001759430559729089,0.00037554049317577864
0.005578782838319639,0.0027847387689945275,0.0015528044519033427,0.0022611557372452266,0.0028738878835864105
0.0057877981640238035,0.0022642645158919487,0.0030710184107857297,0.009232180829893502,0.0289726475135527
0.004336974484406716,0.0018286244280282964,0.0016325375309335288,0.0015390404988605186,0.0037635545764581387
0.005109011227664697,0.002305900966069826,0.002407372578498196,0.002013538722365708,0.00031201390447033157
0.004015546925000101,0.0012686737544438961,0.000917711166578131,0.0014968647918791086,0.00034261314541047925
0.004767757962788649,0.0013480339210413996,0.00214830729962201,0.0012555549984873914,0.000342750942012636
0.005176575360627183,0.0020584009523615145,0.0011799592167704514,0.0012652648397414774,0.0003461059117577808
0.004555324453960089,0.0022922084597005853,0.0012948147027552286,0.0012408014607460912,0.0003304928173533592
0.005939152018714514,0.0014915287771930638,0.0015572559640087014,0.0014732731833101132,0.0003651756684114795
0.006737958090708419,0.003062603305258378,0.002157163202348774,0.0017289880572216472,0.0003126215126723973
0.005727908225074517,0.004104950574018227,0.004911694456852797,0.0014008387068209275,0.0004348170222076426
0.004189949755043464,0.0017880376758198703,0.0012337214615688065,0.0011572083303461257,0.00045432370171011267
0.0030917224062268892,0.0008711702550923811,0.001304174668198901,0.0013580596840105195,0.0003720901074723758
0.0033435460523224747,0.002886129036185022,0.0018714990901432314,0.0015296643333364592,0.0017575524936768677
0.005237809502051746,0.001421071923035107,0.0020342186706409113,0.0015775876511099592,0.0008746277636456115
0.005456775464465482,0.0026369538603323067,0.0016136599804920252,0.0014886250954368933,0.0004686963557651466
0.006906412753863885,0.002906176383154967,0.0018975959437763888,0.001235960709322894,0.00044217752951744457
0.023441922161599,0.005219121731875297,0.003508100894334336,0.005746904314047113,0.010573291674454019
0.01608880546003845,0.0019146760254212653,0.0012508030249456356,0.0018773754834187028,0.003170662847266685
0.009393482681795405,0.0014250472690744117,0.001208342211979287,0.0014336997803228954,0.00043317859216302304
0.004693150369978208,0.0011135145225990046,0.0006468710013151723,0.0015381612997959445,0.0003741798019083992
0.003952661477061389,0.0011865715290948727,0.001235503085188619,0.0013396305289209874,0.0008362673295520813
0.005118158144031923,0.001265355699586725,0.0011631691770714718,0.001368342185226892,0.0003665822931690142
0.006578489656098315,0.0017875893239592037,0.0009124181343688289,0.0013719759085110371,0.0003768088588266427
0.005499729878862977,0.0017034548216810904,0.0009396092766029115,0.0014400140673677,0.00037196655877867583
0.0040331220411546345,0.0004882188905907091,0.0009158449711762998,0.0008400407254467061,0.0002814326748786972
0.005181098653075324,0.0009967240692292524,0.0008254290777654839,0.000792123306681138,0.0002863161573484212
0.004599883061601721,0.0012429998564660156,0.0007622179281072332,0.0011861765508502885,0.000343490053540766
0.003455895189048812,0.0017016161078325113,0.0009523394338205619,0.0012684695382475474,0.00027711531194906725
0.007416738392254744,0.005486833935988192,0.006179687212100341,0.003097971218088725,0.0004221545953854676
0.006243178697040881,0.00312654689636308,0.0027111801341582345,0.0017760120184820223,0.00035569155906546395
0.0030857686020686766,0.0021450295762478633,0.0014972042389403905,0.0007624108923324798,0.0004079377653066438
0.0032147559561607154,0.001522750784731956,0.0010200569652251174,0.0008873134784635969,0.00045486557095472587
0.003866058191997445,0.0015617238921875613,0.0014620614007859383,0.001239074793093913,0.0002886674933944018
0.005952853729779874,0.0008848512912004784,0.0007136008764315265,0.0012131913864842682,0.0003021747419365092
0.007808819518952895,0.002111776294509018,0.001643939351660631,0.001560435694493107,0.0002757866861448624
0.005751387629655534,0.0013735309537805068,0.0015938998656078653,0.001448968145697343,0.0003103564222816464
0.012226519087178402,0.0068813377087049085,0.004911998097852196,0.0055676684920355135,0.0037418449221524454
0.0068277289705658845,0.0016689026268899166,0.0013866609539532311,0.0014310832656724837,0.0009898339832524394
0.000986057926241551,1.193015603989137e-05,1.3458306720396326e-06,1.0815575002925196e-06,1.5251548348782595e-06
0.006723804086245442,0.0005676670891032035,0.00021663015310151342,0.00011485317331523897,5.236423032628139e-05
0.032063817704450985,0.014470411092043767,0.01118101494578232,0.012950411598137654,0.008929659324670373
0.019707874115688757,0.004761589396646474,0.003572108991477263,0.0040935103134221084,0.0028531774104796938
0.00731525185782639,0.00466368026825081,0.003281280825429815,0.00529196551484389,0.016066268810834925
