delta,theta,alpha,beta,gamma
0.012331814809568166,0.003945453009330013,0.0029315007608900026,0.005303531122056963,0.008146707753691255
0.01989758904673961,0.008539380603450624,0.006724722371423691,0.007000888637796545,0.0038128970170849996
0.01971756630545196,0.009119246352481762,0.00698278304630135,0.007392987537942595,0.003932779900678632
0.003646474094171252,0.0002552652067812156,0.00021029406801723554,0.0002433344739836324,0.0002600771536359365
0.003815283461108402,0.0008389803701803241,0.0009119598735794974,0.0006721242327770304,0.00030486848642843916
0.003304423740639688,0.0010200132952863806,0.001141716269649257,0.000726758983332121,0.00016863212518580483
0.003201569395925724,0.0006775363030584701,0.0009605982221670704,0.0005519972149091025,0.00016765360760342867
0.0030051817624842585,0.0006771583090205741,0.0008034046704950661,0.0008632330276781063,0.0003396666708375728
0.0022537808735215393,0.00040455468829337943,0.0006448088843889012,0.0005239437939150165,0.00013490809179408876
0.003404933689809432,0.0004975592182325158,0.00042272355181939125,0.0003969484090462748,0.00014870655567820424
0.006913564206574036,0.0037693851130993364,0.0029360125215563654,0.001133519974970515,0.0008844470825185033
0.005489506761675301,0.004555247120054198,0.0015547948828007556,0.0018663266933718412,0.0008813377786608873
0.00247179474664667,0.0016772457279092545,0.0009443905299823824,0.0009362488476444825,0.00029231379083982927
0.002153651852710526,0.003829125517418235,0.0013952773727788277,0.0017028445355191703,0.00097829028290131
0.005022093079413369,0.002157299284690949,0.0007707416858260141,0.0010377408376880826,0.0005913385930542915
0.0029370920496267286,0.0005241386838331515,0.0003043215292175099,0.0005506783703094031,0.00014608989436861594
0.0032592418614823095,0.0006733035693962393,0.000790131190681621,0.0007480722658124271,0.00014567689408892626
0.0016707975444768225,0.0006026374706535518,0.0006107048855136421,0.0006106886250250119,0.0002686153384480773
0.0033394784267420765,0.0009122097031106546,0.0009603696073626037,0.0007349856125344256,0.0003053859770191992
0.004331678864331202,0.0023128236819041467,0.0020239049533287753,0.0022109875407718992,0.000272260369313942
0.013655790259319331,0.0024477411342778074,0.0036739812278234994,0.0017934421304323664,0.00043697421270479027
0.008643448965080097,0.0038545732903495123,0.003849227805420358,0.0012317350344362285,0.0002712521147368746
0.009768720629497475,0.006344387210367742,0.0032036161393449434,0.0020988044705393485,0.000554382314451336
0.012469925437812595,0.002445628189799324,0.003721615607170246,0.005549184321999188,0.006243647299573634
0.016538456334127243,0.004510938442547558,0.0069425122817661465,0.01041630597809241,0.018425571370426646
0.008734866090857663,0.0028099283591388833,0.004453665489851776,0.001938959157101129,0.0016656283920424575
0.014766531421787294,0.0057559353779174545,0.003014759963870548,0.002262393066081169,0.00039050275772511446
0.01100862808835407,0.004961451207736544,0.002695804174129362,0.0024300418419593043,0.0008948524243726832
0.007823699033554963,0.0011841559404655202,0.0015389459887033175,0.002387936984101582,0.0021882270409056847
0.004065455295635604,0.0026137632579102724,0.0012040930257250942,0.0010185314444599556,0.00028957922196723587
0.001330272983743159,0.0007479560716265299,0.0009532976873893725,0.000763071593456194,0.00018509182773524376
0.003296009172378625,0.0019522969658936358,0.0008036171186103301,0.0007794095249867537,0.00037288765820640493
0.008130453781981302,0.003882431298921346,0.0012234679403605438,0.0015857270746215163,0.001629510669426185
0.012098443589275287,0.003939392056347081,0.0025058456160730745,0.0022254485594041433,0.001325659951888718
0.019217978371520426,0.008991787286396102,0.006531391330956814,0.005580032656311937,0.002955380003306158
0.010369396870260571,0.0010509656724431895,0.0007841941645545985,0.000310402321203792,8.51685857666334e-05
0.004823941450086619,0.0006151772886908173,0.0010746916524613178,0.0009081926343997979,0.00023267837220308077
0.0027093524964386956,0.0006120315258493617,0.0010389138442535731,0.0008681735050419014,0.00026271896345904367
0.001595022116311239,0.0009589172915324614,0.0008385000061321929,0.0010505266287238334,0.00021942636614392816
0.002406144353513496,0.0008475868670602773,0.001127030414227881,0.0011910231374271344,0.0001841132398773679
0.0017606800040537707,0.0006675379319849707,0.0011523622858773009,0.000834890074223957,0.0002318496692308253
0.0022115433990992266,0.0005479959110372359,0.0010429408793929226,0.0022850116994556913,0.0002518442925489464
0.0020106035463572994,0.0006211998059579413,0.0005920173004681764,0.001021061670724382,0.00017931450718624485
0.0033233006147901758,0.0011815887487421637,0.001428402085748948,0.0012729264127419632,0.00031152275726171205
0.0028310679734625693,0.0009305109044332367,0.0005499211859383281,0.0012227775271855677,0.00020277912311238982
0.0017339791196227812,0.0005894935330476831,0.0005062863912990887,0.0007849945892379618,0.0001468702985743
0.002608580862236133,0.0005601368115854462,0.0005366751959682732,0.0007972743548381509,0.00022773961603182166
0.003301529151934229,0.0009522109504460821,0.000670113168681576,0.0008839331543136401,0.00017110538558679127
0.0010471739075505484,0.0005994609823914479,0.0007322516009584156,0.0010453387581603891,0.0002368804565968247
0.0019569580260637327,0.0006013922596952522,0.0005627018902313828,0.0010326121252192027,0.000184944517208872
0.0018910956934384156,0.0005187481973775389,0.0011237443659550361,0.000983390975645886,0.0003687606485322063
0.0018728545259844528,0.0008352554824235527,0.0005881020101818976,0.0009262223871310776,0.00027652719291205747
0.0023966999597836046,0.0006674884490729113,0.0005116684190480861,0.0008760080839586892,0.00017600254040115666
0.0019112959981683554,0.001532200857909949,0.0010181364404399829,0.0009937991218564109,0.0001585708561296939
0.002665401455543084,0.0007434868199607707,0.0009575533520329758,0.0008469143411869612,0.00014711578428691478
0.001668808709719005,0.0004787728372099873,0.0008093644699028537,0.0006672050449749547,0.00013731781409418448
0.0016798406741352018,0.0006921316692136601,0.0009656963905190565,0.0008440486379250524,0.00018001940126293812
0.0016785121906383279,0.0003883416644027023,0.0007873026723886474,0.000862492179809641,0.00012903465695910437
0.002086026978374891,0.00041054149980300904,0.0007757121294212702,0.0010586813315767044,0.0001541189463475435
0.0018692184608172654,0.0006696833889013466,0.0006252598909468752,0.0008540304460210567,0.00017692284028206941
0.0024612026185545587,0.0007237488813137346,0.001188456516786533,0.0013133572391282296,0.00027901874794429717
0.008907999066271717,0.004368337076737708,0.0012706285229899742,0.002999635302012422,0.0018662282831493112
0.0035114958830065506,0.0006970157880824934,0.0007709651013362012,0.0011507822328061315,0.000489248608297576
0.0045520167213353585,0.0004210788609158407,0.0009453338033459953,0.001671192877042405,0.0002709988532092243
0.005600392917272387,0.002542074776068569,0.001158555785151933,0.00697824886391138,0.020999435370018586
0.003049644207035164,0.000872127024881419,0.0010325643102137814,0.0010982719875674179,0.006163051849316382
0.009913395495586357,0.0008539896063715314,0.0009617503829673782,0.0011891653669370299,0.0009180650419199467
0.013179465892798135,0.0014016665994571657,0.0008306984404291033,0.0006250524263330718,0.00015626446036246452
0.0035208263612148327,0.0013548366962446107,0.000554058102603,0.00046238940003075706,0.00018690780611446095
0.00333254986241885,0.0011912847321728728,0.000719332276189282,0.00039124775629347343,0.00015227988618396997
0.00231073675328396,0.0010934063169224383,0.000669986489333039,0.0004340459348038575,0.00018011379127034485
0.0023544839922161895,0.0007522920446306216,0.0005647446056884748,0.00045067988490412507,0.00016061169473894233
0.003371941493743729,0.0012304520652315848,0.0008050614259672783,0.000560967203822724,0.00019518714409451587
0.0031567870823501955,0.0008718473822792984,0.0006448134401305147,0.0004129974007793717,0.00018202409143768683
0.0033294799260007377,0.0006688707995264118,0.00043314250163477893,0.0006217648832856765,0.0001681611124566383
0.006039255243380161,0.0007012235174348638,0.0005695950419303908,0.0005532896882567323,0.00018061653206940772
0.002899841750712498,0.0010834581529175387,0.0010134967572472894,0.0010761402907403423,0.0003475066156833863
0.003375578918565027,0.0012069891426144267,0.0008563567855199197,0.0009866036349201004,0.0006969415182638735
0.002597894556417733,0.0017607291364067621,0.0009416037213907196,0.0011156648808072944,0.00022576125334426432
0.013193479682124571,0.0022947690291291287,0.004589243295616065,0.0026503139722512275,0.0011671494655707655
0.004977420722303935,0.0016700588986006484,0.003041439786388861,0.0019420352615950546,0.0004573502906132608
0.0029050434452774993,0.002519046803077132,0.0019012671783276134,0.0012799259679216832,0.00018210519614724022
0.015934845398793918,0.00204142610886783,0.0036534869808945826,0.006306572932513875,0.015211702003675283
0.013827535808216222,0.005274458307024894,0.005257317748787418,0.002396829690966305,0.006344188844335638
0.007171146021887951,0.004284622356795274,0.0043669826682077185,0.0039495947829348834,0.0004797444555148546
0.004468342473292378,0.0016750950015657342,0.002843759700009396,0.0026704236401485447,0.0002933167408171521
0.0021030901451407243,0.0022730023036358106,0.002520222490327854,0.009431466328416847,0.01959951937619117
0.0020455168269481634,0.0014209318650166228,0.0014318632824278127,0.004117960905922328,0.00972520207690593
0.002602346554519105,0.0009687844260114901,0.0011488155637685686,0.0012775441559414382,0.00045361448562041977
