delta,theta,alpha,beta,gamma
0.012331840227623141,0.003945453041875417,0.0029315008711440194,0.005303531209376982,0.008146707761185727
0.01989772885839553,0.008539382208100127,0.006724722407204679,0.007000888607649974,0.0038128970426362548
0.019716929572595417,0.009119241334572625,0.006982779943774189,0.007392987215273428,0.003932780033822122
0.0036448198602846943,0.0002551264011844629,0.00021025261850563282,0.00024332964229357263,0.00025998070762006664
0.0038220110095549963,0.0008390019467695848,0.0009119776951349289,0.0006721244179443768,0.0003047237516035187
0.0033038262570954397,0.0010204538493010502,0.0011416597877653269,0.0007267645213386018,0.000169029579502323
0.003212380073125777,0.0006773206565232904,0.0009606971278980707,0.0005520921450002432,0.00016990941578541807
0.0030894779331962314,0.0006793012477426253,0.0008032906708268106,0.0008632682606248918,0.0003454415705005535
0.0025984304582868777,0.0004184943413405983,0.0006484715948197397,0.0005234278991599963,0.00015012701849915423
0.0032487640471245555,0.0008691155962528143,0.0020729081771525522,0.004336604030906193,0.012884341006957683
0.006081280991064198,0.0008628889024452599,0.0033893345186580036,0.005684867510907162,0.024158006989344994
0.003298069721653875,0.00047657557141387056,0.0005262466587065694,0.0005678513721151057,0.0010500990082321251
0.0027010602159274026,0.0006321977540559935,0.0006380457043188795,0.0006918620099105111,0.00019828671502603948
0.002268423244397688,0.000832092840049984,0.0020685280650267596,0.005447198425848782,0.011944094524991622
0.00497487634819572,0.0025083094162285107,0.0037809176232416687,0.008221881781758603,0.025443367827963203
0.0043106055324228995,0.0013416604072669666,0.0014957872144974846,0.005988416562689928,0.010945675225571867
0.006997406868421128,0.0018222078079672788,0.001803534605632636,0.010357611009255622,0.023446864049071047
0.0016397853935667182,0.0008824226011742986,0.001086991874948769,0.0011594578704838938,0.001115099321539369
0.001662376095077646,0.0007106743086543069,0.0011571707860171963,0.0007720492906464388,0.000237582359147425
0.0021042564362631147,0.0005428888139655787,0.0010595300322775829,0.00233040552040617,0.0002562919988448134
0.0020257834853911368,0.000616710569185871,0.0005877280262515482,0.000972466431756606,0.00018119391914704635
0.0034449152963173246,0.001149017968168413,0.0013864481990332144,0.0012800054740918641,0.0003076016568051535
0.0028724029259935262,0.0009367307178682319,0.0006517377879961754,0.001242059325627384,0.00020651844072649243
0.001734186601280825,0.0005842527690799704,0.00051793329073419,0.0007942196607771588,0.00014461503048151308
0.0026311488849831946,0.0005501855925463112,0.0005107087102705106,0.0008110086865898053,0.00023301969839600975
0.0032989612619976722,0.000961401590142836,0.0006764653173443042,0.0008807331062220898,0.00016250889298044155
0.0009361383970646375,0.0005459470596551809,0.0007372733477978264,0.0009880566688768443,0.0002345127765073702
0.0020147071602428777,0.0006532271458553959,0.0005611816533004511,0.0010965286494705022,0.0001914873273841122
0.0019121575543117936,0.0004985153531883708,0.0011420689463155843,0.0009510118043117258,0.0003556720700230122
0.0018320478094617865,0.0008011311067646601,0.0005872225614912446,0.0009599609879591865,0.00029365739203784735
0.0025315116289423806,0.0005963844800416662,0.0005147763947759478,0.0008306675501319157,0.0002959557622381623
0.0022518081613037565,0.0015206997125756434,0.0009673713544779868,0.001016195645231886,0.00020913376309111627
